Product Name	Associated Patent(s)	Table Number
3820	11763112; 11042793; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8439267; 8302866; 8302865; 7926721; 7852519; 7147162	1
4206	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
4980	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
6820	9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
6821	9554384; 9104930; 8915444; 8914788; 8791795; 8596542; 8479992; 8317105; 8296754; 8281993; 8162218; 7946493; 7934660; 7883013; 7770799; 7699227; 7600687; 7416125; 7296749	1
1 Series Gas Detector	11598745; 10955377	1
100 FW Series Proximity Sensors	8619435	1
1000 Series Pressure Switches	7786392	1
100PC / 200PC Series	11549824; 11047711; 10955263; 10446310; 10332675; 10267654; 10024692; 9952064	1
13 mm Series Pressure Transducers	6945120	1
1500g-h	11763112; 10289993; 9582794; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585	1
1800B2	10976756	1
19 mm Series Pressure Transducers	6945120	1
1CPS Series Switches	7022930	1
1HP Series Pressure Switches	8022321	1
200 FW Series Proximity Sensors	8619435	1
21 FW Series Proximity Sensors	8619435	1
26PC Series Pressure Sensors	8312774; 8297125; 7591186; 7343812	1
2CF3 Carbon Monoxide	10386325; 8771489	1
3 Series Carbon Monoxide Sensor	8771489	1
300 FW Series Proximity Sensors	8619435	1
3200 Industrial Scanner	11763112; 10289993; 9582794; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519	1
3200;3820	8794520	1
3240 Series Printer	8842143; 8842142	1
3325P	11763112; 11042793; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519	1
3400 Series Printer	8842143; 8842142	1
3440 Series Printer	8842143; 8842142	1
3600 Series Printer	8842143; 8842142	1
3800G	11763112; 11042793; 10867141; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519; 7147162	1
3800GPDF	11763112; 11042793; 10867141; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519	1
3800i	11763112; 11042793; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519	1
3800R	11763112; 11042793; 10867141; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519; 7147162	1
3820i	11763112; 11042793; 10289993; 10064005; 9959495; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8302866; 8302865; 7926721; 7852519	1
3G PID Rae	11604163	1
4206;4820	8794520	1
4236 AFS Cordless	8794520	1
4400 Series Printer	8842143; 8842142	1
4420 Series Printer	8842143; 8842142; 8157340	1
4440 Series Printer	8842143; 8842142; 8157340	1
4600G	11763112; 11042793; 10867141; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176; 7147162	1
4600Gh	8794520	1
4600R	11763112; 11042793; 10867141; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
4800dr Document Imager	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9477867; 9323969; 9210294; 9154927; 9104930; 8915444; 8914788; 8794520; 8636200; 8630491; 8596542; 8583924; 8479992; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8025232; 7997489; 7984855; 7946493; 7934660; 7926721; 7883013; 7852519; 7784696; 7770799; 7740176; 7699227; 7600687; 7416125; 7296749	1
4800i	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 9104930; 8915444; 8914788; 8794520; 8636200; 8596542; 8583924; 8550357; 8479992; 8442585; 8348167; 8317105; 8302866; 8302865; 8296754; 8281993; 8162218; 8025232; 7997489; 7984855; 7946493; 7934660; 7926721; 7883013; 7852519; 7784696; 7770799; 7740176; 7699227; 7600687; 7568628; 7416125; 7296749; 7147162	1
4800p	8794520	1
4810wa	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176	1
4820 Handheld Scanner	11763112; 11042793; 10289993; 10152664; 10133885; 10064005; 9959495; 9892356; 9767337; 9582794; 9519814; 9323969; 9154927; 8794520; 8636200; 8583924; 8550357; 8442585; 8439267; 8348167; 8302866; 8302865; 8025232; 7984855; 7926721; 7852519; 7784696; 7740176; 7147162	1
4820h	8794520	1
